Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,848.0,18.0,88.0,848.0,0.0,60.306000000000004,0.0,0.0,62.064618825912476,,,,,,,,,,,,,,,,,,,,,22.409029587638926,18.586294299286738,58.39239779408185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,880.0,19.0,32.0,880.0,0.0,18.605000000000015,0.0,0.0,64.54563021659851,,,,,,,,,,,,,,,,,,,,,5.9103156666375956,6.091262387988159,18.43430420287047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,911.0,20.0,31.0,911.0,0.0,12.807999999999993,0.0,0.0,66.93042469024658,,,,,,,,,,,,,,,,,,,,,3.1558896344846845,3.9611477354863434,12.722890311642619,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,28.0,1.0,28.0,939.0,0.0,12.305999999999994,0.0,0.0,135.68612694740295,,,,,,,,,,,,,,,,,,,,,3.197627272547906,3.865841308816818,12.228695131500162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,57.0,2.0,29.0,968.0,0.0,12.004999999999994,0.0,0.0,137.90161800384521,,,,,,,,,,,,,,,,,,,,,3.092452486501468,3.6661058394039547,11.927246124015474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,91.0,3.0,34.0,1002.0,0.0,18.206000000000017,0.0,0.0,140.5150363445282,,,,,,,,,,,,,,,,,,,,,5.42597638744967,5.872751593504166,18.0395563591859,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,119.0,4.0,28.0,1030.0,0.0,12.205999999999994,0.0,0.0,142.8899908065796,,,,,,,,,,,,,,,,,,,,,3.250346541052772,3.8014562654218613,12.12711741426479,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,169.0,5.0,50.0,1080.0,0.0,27.40700000000002,0.0,0.0,146.55318331718445,,,,,,,,,,,,,,,,,,,,,8.46891657318474,8.581850490201312,27.010564736076837,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,223.0,6.0,54.0,1134.0,0.0,19.81200000000004,0.0,0.0,150.44855737686157,,,,,,,,,,,,,,,,,,,,,4.584978929151914,5.72819436931074,19.583995132958755,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,262.0,7.0,39.0,1173.0,0.0,18.507000000000023,0.0,0.0,153.34623527526855,,,,,,,,,,,,,,,,,,,,,5.085121089998879,5.77236755296424,18.327007284774826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,313.0,8.0,51.0,1224.0,0.0,31.408000000000023,0.0,0.0,157.0737965106964,,,,,,,,,,,,,,,,,,,,,10.12618329445307,10.260266314890496,30.92248713912202,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,355.0,9.0,42.0,1266.0,0.0,17.511000000000028,0.0,0.0,160.10711693763733,,,,,,,,,,,,,,,,,,,,,4.289322714289464,5.346907799654128,17.348196642642485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,417.0,10.0,62.0,1328.0,0.0,33.510999999999996,0.0,0.0,164.64023280143738,,,,,,,,,,,,,,,,,,,,,9.605315888872171,10.709650070870119,32.94841883372365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,468.0,11.0,51.0,1379.0,0.0,24.00700000000003,0.0,0.0,168.4045271873474,,,,,,,,,,,,,,,,,,,,,6.626903542068438,7.32187291564791,23.69272063999451,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,493.0,12.0,25.0,1404.0,0.0,11.105999999999995,0.0,0.0,170.46194005012512,,,,,,,,,,,,,,,,,,,,,2.9293158218329984,3.527323432567409,11.043810915369546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,539.0,13.0,46.0,1450.0,0.0,22.607000000000024,0.0,0.0,174.13040852546692,,,,,,,,,,,,,,,,,,,,,6.4779257737932445,6.985799364644118,22.331346761166674,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,570.0,14.0,31.0,1481.0,0.0,13.207999999999993,0.0,0.0,176.49685192108154,,,,,,,,,,,,,,,,,,,,,3.360800062669975,4.106282741762554,13.11693213018742,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,609.0,15.0,39.0,1520.0,0.0,20.408000000000023,0.0,0.0,179.42330121994019,,,,,,,,,,,,,,,,,,,,,5.79424013422861,6.606326805461753,20.202226861626716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,653.0,16.0,44.0,1564.0,0.0,15.506999999999989,0.0,0.0,182.65322422981262,,,,,,,,,,,,,,,,,,,,,3.5917622135361245,4.3981894461708375,15.364326789393804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,747.0,17.0,94.0,1658.0,0.0,58.506000000000014,0.0,0.0,189.23282599449158,,,,,,,,,,,,,,,,,,,,,22.07960752709089,16.725274002198248,56.48700389634983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,796.0,18.0,49.0,1707.0,0.0,25.608000000000025,0.0,0.0,192.7672131061554,,,,,,,,,,,,,,,,,,,,,7.427878340081182,8.078967899501814,25.269303264600623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,829.0,19.0,33.0,1740.0,0.0,15.905999999999993,0.0,0.0,195.33559846878052,,,,,,,,,,,,,,,,,,,,,4.379577516622234,5.043984561720145,15.777251193144611,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,877.0,20.0,48.0,1788.0,0.0,28.90700000000002,0.0,0.0,198.87636804580688,,,,,,,,,,,,,,,,,,,,,9.23252990382896,9.39253754026202,28.49233089551172,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,205.0,1.0,205.0,1993.0,0.0,72.31000000000013,0.0,0.0,431.68000197410583,,,,,,,,,,,,,,,,,,,,,26.350786897503,17.81319168403218,66.97506374976169,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,433.0,2.0,228.0,2221.0,0.0,166.40800000000004,0.0,0.0,447.321462392807,,,,,,,,,,,,,,,,,,,,,76.41099994190157,46.39680856322936,149.1354274406872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
