Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,776.0,18.0,46.0,776.0,0.0,27.40600000000002,0.0,0.0,89.72277808189392,,,,,,,,,,,,,,,,,,,,,8.766278007844479,8.851854311020169,27.029780992631785,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,817.0,19.0,41.0,817.0,0.0,13.803999999999997,0.0,0.0,94.73220586776733,,,,,,,,,,,,,,,,,,,,,6.8883897835614665,4.947433566002844,13.535111130003981,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,834.0,20.0,17.0,834.0,0.0,1.2049999999999994,0.0,0.0,96.92862129211426,,,,,,,,,,,,,,,,,,,,,0.46152610054160276,0.41317180455045477,1.198352408699492,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,36.0,1.0,36.0,870.0,0.0,19.404000000000018,0.0,0.0,137.37043857574463,,,,,,,,,,,,,,,,,,,,,5.951722048818911,6.151272423267932,19.208946953195717,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,65.0,2.0,29.0,899.0,0.0,12.404999999999994,0.0,0.0,140.84418296813965,,,,,,,,,,,,,,,,,,,,,3.297907019439372,3.81248678448239,12.321682378815074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,211.0,3.0,146.0,1045.0,0.0,68.405,0.0,0.0,158.420170545578,,,,,,,,,,,,,,,,,,,,,30.403705564295464,18.839129676335453,64.03008907668953,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,419.0,4.0,208.0,1253.0,0.0,74.00400000000005,0.0,0.0,182.1320538520813,,,,,,,,,,,,,,,,,,,,,38.17982566102375,18.2817852669606,66.12872498749456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,467.0,5.0,48.0,1301.0,0.0,19.90800000000003,0.0,0.0,187.6627275943756,,,,,,,,,,,,,,,,,,,,,5.279575685334371,5.90598937291037,19.674254621725677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,511.0,6.0,44.0,1345.0,0.0,15.609999999999989,0.0,0.0,192.8877968788147,,,,,,,,,,,,,,,,,,,,,3.5152219311742248,4.511300806384055,15.470801036064401,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,596.0,7.0,85.0,1430.0,0.0,30.71100000000006,0.0,0.0,202.97291016578674,,,,,,,,,,,,,,,,,,,,,8.517619346697776,8.390383163298354,30.017019374905598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
