Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,218.0,19.0,6.0,237.0,0.0,14.00100001,14.00100001,0.0,44.82632660865784,,,,,,,,,,,,,,,,6.6345418301798205,4.96876883153564,13.981809109959059,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,225.0,20.0,8.0,245.0,0.0,10.815010010000002,10.815010010000002,0.0,46.58177638053894,,,,,,,,,,,,,,,,5.455419420063355,4.216016807172766,10.787609683743302,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,26.0,1.0,27.0,272.0,0.0,18.40186001,18.40186001,0.0,65.90557837486267,,,,,,,,,,,,,,,,12.488282237399648,3.8902770149538584,18.10671425355222,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,51.0,2.0,26.0,298.0,0.0,63.031800010000005,63.031800010000005,0.0,69.99679708480835,,,,,,,,,,,,,,,,29.863295131846776,17.78956109184842,62.347565196900725,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,60.0,3.0,10.0,308.0,0.0,31.26060001,31.26060001,0.0,72.00695490837097,,,,,,,,,,,,,,,,14.648082513317746,10.140663988920911,31.159927194574713,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,78.0,4.0,19.0,327.0,0.0,39.67361001,39.67361001,0.0,75.64122700691223,,,,,,,,,,,,,,,,20.266892092710677,12.190176899815699,39.34815410643765,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,84.0,5.0,7.0,334.0,0.0,15.04000001,15.04000001,0.0,77.27334856987,,,,,,,,,,,,,,,,7.802983325208033,5.149826826126894,15.0081903003491,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,98.0,6.0,15.0,349.0,0.0,32.76600001,32.76600001,0.0,79.92842054367065,,,,,,,,,,,,,,,,13.216880707740128,12.237515821165179,32.61357725734899,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,112.0,7.0,15.0,364.0,0.0,39.37000351,39.37000351,0.0,82.6185450553894,,,,,,,,,,,,,,,,14.644624936120746,13.077947666312673,39.20418294383815,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,123.0,8.0,12.0,376.0,0.0,13.09035001,13.09035001,0.0,84.8877227306366,,,,,,,,,,,,,,,,6.269599960862365,4.246926797491802,13.034418829259774,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,132.0,9.0,10.0,386.0,0.0,16.64300001,16.64300001,0.0,86.90994000434875,,,,,,,,,,,,,,,,9.822714809925118,5.255382854551124,16.571166743454125,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,139.0,10.0,8.0,394.0,0.0,22.701000010000005,22.701000010000005,0.0,88.75284361839294,,,,,,,,,,,,,,,,10.470284917956635,7.5882750222544875,22.65035837394825,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,159.0,11.0,21.0,415.0,0.0,55.78270000999999,55.78270000999999,0.0,92.19986081123352,,,,,,,,,,,,,,,,28.917088185311393,15.802744633664105,55.25961786415794,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,171.0,12.0,13.0,428.0,0.0,25.62601001,25.62601001,0.0,94.85513210296631,,,,,,,,,,,,,,,,12.871222812016711,8.809896639859101,25.497052388644445,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,188.0,13.0,18.0,446.0,0.0,29.347100010000002,29.347100010000002,0.0,97.97604632377625,,,,,,,,,,,,,,,,13.533442274938695,10.002712491862624,29.146177668995044,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,197.0,14.0,10.0,456.0,0.0,12.721202010000004,12.721202010000004,0.0,99.986168384552,,,,,,,,,,,,,,,,4.836015128982563,4.731083466434754,12.690368242081238,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,213.0,15.0,17.0,473.0,0.0,29.253610010000006,29.253610010000006,0.0,102.90314388275146,,,,,,,,,,,,,,,,16.718710300590676,10.634786593628913,29.015125770961514,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,235.0,16.0,23.0,496.0,0.0,41.046705010000004,41.046705010000004,0.0,106.5923683643341,,,,,,,,,,,,,,,,23.355598979340296,13.898294083649644,40.57345528774226,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,240.0,17.0,6.0,502.0,0.0,14.50100001,14.50100001,0.0,108.10434651374817,,,,,,,,,,,,,,,,6.93424193017982,5.176729828750908,14.48080960995906,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,264.0,18.0,25.0,527.0,0.0,50.26350001,50.26350001,0.0,112.2299485206604,,,,,,,,,,,,,,,,24.50126246867295,14.61716819119648,49.72519490565751,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,275.0,19.0,12.0,539.0,0.0,18.12510551,18.12510551,0.0,114.70364618301392,,,,,,,,,,,,,,,,8.102659540775905,7.192230418192273,18.06684713246927,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,287.0,20.0,13.0,552.0,0.0,30.18900001,30.18900001,0.0,117.09330582618713,,,,,,,,,,,,,,,,12.271997148201926,9.033024481381444,30.071807852073654,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,23.0,1.0,24.0,576.0,0.0,60.387010010000004,60.387010010000004,0.0,137.00313138961792,,,,,,,,,,,,,,,,29.04610298274763,18.31491643855839,59.77872836976657,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,30.0,2.0,8.0,584.0,0.0,22.601000010000003,22.601000010000003,0.0,138.75167965888977,,,,,,,,,,,,,,,,10.527356346528064,7.639752914161962,22.54985837394825,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,50.0,3.0,21.0,605.0,0.0,22.24400001000001,22.24400001000001,0.0,142.17748880386353,,,,,,,,,,,,,,,,4.938640671005414,6.087740947569656,22.167394591171064,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,75.0,4.0,26.0,631.0,0.0,56.75300001000001,56.75300001000001,0.0,146.21794319152832,,,,,,,,,,,,,,,,25.594584270177535,14.675987813802518,56.16930470795349,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,82.0,5.0,8.0,639.0,0.0,15.54070001,15.54070001,0.0,148.212247133255,,,,,,,,,,,,,,,,6.305550777513413,4.958556663541891,15.51207322778519,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,100.0,6.0,19.0,658.0,0.0,40.44551001,40.44551001,0.0,151.40936851501465,,,,,,,,,,,,,,,,21.13729554540855,12.7939725796195,40.105143834016665,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,133.0,7.0,34.0,692.0,0.0,61.543113510000005,61.543113510000005,0.0,156.54546475410461,,,,,,,,,,,,,,,,25.68056441543201,18.729124919423633,60.77218347906539,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,150.0,8.0,18.0,710.0,0.0,55.89560601000001,55.89560601000001,0.0,159.5867621898651,,,,,,,,,,,,,,,,25.768044437697416,17.604660280666085,55.51306231687601,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,158.0,9.0,9.0,719.0,0.0,6.6610060099999995,6.6610060099999995,0.0,161.57116746902466,,,,,,,,,,,,,,,,2.272854875739506,2.318382741306628,6.649472643637721,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,170.0,10.0,13.0,732.0,0.0,27.81880201,27.81880201,0.0,163.95992755889893,,,,,,,,,,,,,,,,10.667439422096296,9.862858927015,27.718511248183027,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,198.0,11.0,29.0,761.0,0.0,46.973750009999996,46.973750009999996,0.0,168.40262055397034,,,,,,,,,,,,,,,,26.248637693036933,12.230165133880055,46.285073227822785,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,211.0,12.0,14.0,775.0,0.0,7.0290100099999995,7.0290100099999995,0.0,170.92947697639465,,,,,,,,,,,,,,,,2.1625610826096806,2.2860458030396806,7.007904620546622,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,221.0,13.0,11.0,786.0,0.0,27.24560001,27.24560001,0.0,173.31702661514282,,,,,,,,,,,,,,,,13.711611046720453,9.238336064153115,27.135619519051843,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,228.0,14.0,8.0,794.0,0.0,14.583000010000001,14.583000010000001,0.0,175.1515657901764,,,,,,,,,,,,,,,,7.727626166251478,5.14950417857539,14.543450076913153,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,234.0,15.0,7.0,801.0,0.0,18.20100001,18.20100001,0.0,176.81484937667847,,,,,,,,,,,,,,,,8.440272675291366,6.191304884917538,18.168526900849102,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,249.0,16.0,16.0,817.0,0.0,22.62675351,22.62675351,0.0,179.60144591331482,,,,,,,,,,,,,,,,10.121125682912217,6.65561292023539,22.504188247062196,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,275.0,17.0,27.0,844.0,0.0,65.80295001,65.80295001,0.0,183.8151729106903,,,,,,,,,,,,,,,,32.856974760408214,18.0357323036116,65.01368234857797,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,284.0,18.0,10.0,854.0,0.0,18.51900001,18.51900001,0.0,185.83217024803162,,,,,,,,,,,,,,,,8.871846449058003,5.968381889876547,18.457611002961436,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,302.0,19.0,19.0,873.0,0.0,12.70160001,12.70160001,0.0,189.13225603103638,,,,,,,,,,,,,,,,8.247204945735003,2.7644864331748185,12.565716037013784,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,311.0,20.0,10.0,883.0,0.0,14.30460601,14.30460601,0.0,191.16970944404602,,,,,,,,,,,,,,,,6.925644933922674,4.656645323100056,14.256531737332029,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,15.0,1.0,16.0,899.0,0.0,21.360010010000003,21.360010010000003,0.0,206.8421585559845,,,,,,,,,,,,,,,,6.733563029171384,6.600826515469942,21.28028685141384,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,33.0,2.0,19.0,918.0,0.0,38.082250009999996,38.082250009999996,0.0,209.99362564086914,,,,,,,,,,,,,,,,21.840509508034206,11.190107605046638,37.72684768654192,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,50.0,3.0,18.0,936.0,0.0,27.241000010000004,27.241000010000004,0.0,213.26735949516296,,,,,,,,,,,,,,,,16.686664623832332,8.510709235435451,27.008319341759027,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,89.0,4.0,40.0,976.0,0.0,82.53360001,82.53360001,0.0,219.19016361236572,,,,,,,,,,,,,,,,38.568509764503375,25.17264155797804,81.17671538323545,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,110.0,5.0,22.0,998.0,0.0,59.58605001000001,59.58605001000001,0.0,222.77368783950806,,,,,,,,,,,,,,,,29.054957037099918,18.21412959242829,59.03493084306397,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,119.0,6.0,10.0,1008.0,0.0,23.72060601,23.72060601,0.0,224.83750081062317,,,,,,,,,,,,,,,,9.255062308820847,8.159091867070176,23.66097142064125,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,139.0,7.0,21.0,1029.0,0.0,43.53450351000001,43.53450351000001,0.0,228.26412439346313,,,,,,,,,,,,,,,,19.394871938644805,15.296526932818372,43.1897958670942,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,179.0,8.0,41.0,1070.0,0.0,49.46705001000001,49.46705001000001,0.0,234.24195742607117,,,,,,,,,,,,,,,,22.570308183623744,13.231577254529038,48.652503036224445,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,208.0,9.0,30.0,1100.0,0.0,64.50025351,64.50025351,0.0,238.82940006256104,,,,,,,,,,,,,,,,31.55373896231936,23.915114468688813,63.64884392401675,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,222.0,10.0,15.0,1115.0,0.0,20.731020010000005,20.731020010000005,0.0,241.69107270240784,,,,,,,,,,,,,,,,10.613120164623007,7.455787018351344,20.603039367062344,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,232.0,11.0,11.0,1126.0,0.0,23.77300001,23.77300001,0.0,243.89742612838745,,,,,,,,,,,,,,,,11.541067707023839,7.584293625735752,23.681270603533296,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,247.0,12.0,16.0,1142.0,0.0,27.768900010000003,27.768900010000003,0.0,246.73708772659302,,,,,,,,,,,,,,,,14.377029415056144,8.893789665649644,27.580825394168325,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,268.0,13.0,22.0,1164.0,0.0,45.87980001,45.87980001,0.0,250.41031455993652,,,,,,,,,,,,,,,,21.7663888784852,13.346734583694815,45.46817401756939,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,276.0,14.0,9.0,1173.0,0.0,10.675250010000001,10.675250010000001,0.0,252.31303906440735,,,,,,,,,,,,,,,,5.77179764929364,3.4653491533704743,10.639715344149801,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,297.0,15.0,22.0,1195.0,0.0,16.48802001,16.48802001,0.0,255.89002394676208,,,,,,,,,,,,,,,,10.527778016104685,4.695334690048256,16.283219891553355,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,305.0,16.0,9.0,1204.0,0.0,3.2310000100000003,3.2310000100000003,0.0,257.8109619617462,,,,,,,,,,,,,,,,1.5167472011483476,1.410062223042193,3.2220881205113243,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
