episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,0.32315090577581623,2.670309004324791,-84.50955951871835,30.0,0.6,4,1.0,False,True,0.6962176527900663,1,23.11822180235112,1580522391.5338383,in_progress
0,2.0,0.3373087112238693,2.5937537319071167,-82.26067331187939,15.0,0.6,3,1.0,False,True,1.0326915521978164,2,23.11822180235112,1580522391.7382367,in_progress
0,3.0,0.3647293998042749,2.4931943693587466,-78.58782856862449,0.0,0.6,2,1.0,False,True,1.4826300100558494,2,23.11822180235112,1580522391.9554858,in_progress
0,4.0,0.39786068436127325,2.3835575274579432,-75.61200193694584,-30.0,0.6,0,1.0,False,True,1.9795056490923741,3,23.11822180235112,1580522392.1715462,in_progress
0,5.0,0.4224828267051853,2.278667676506915,-76.42743851697288,-30.0,0.6,0,1.0,False,True,2.445545390166969,4,23.11822180235112,1580522392.3911188,in_progress
0,6.0,0.4324748370340638,2.1751005798335576,-80.72453086286158,30.0,0.6,4,1.0,False,True,2.8934171838792575,4,23.11822180235112,1580522392.6316686,in_progress
0,7.0,0.44069987180071096,2.0669156713602215,-83.23050993910833,0.0,0.6,2,1.0,False,True,3.351989733050347,5,23.11822180235112,1580522392.83542,in_progress
0,8.0,0.4519319052764748,1.967748954571064,-83.42885857577757,15.0,0.6,3,1.0,False,True,3.7748768666855304,6,23.11822180235112,1580522393.053389,in_progress
0,9.0,0.46845054793662894,1.8655370152395179,-81.9821576573638,15.0,0.6,3,1.0,False,True,4.2007629621864595,6,23.11822180235112,1580522393.2789304,in_progress
0,10.0,0.4952762770014457,1.7528966792479594,-78.78825468177621,-30.0,0.6,0,1.0,False,True,4.66818647558425,7,23.11822180235112,1580522393.494502,in_progress
0,11.0,0.516831577770312,1.6460876950005996,-78.78033403417369,0.0,0.6,2,1.0,False,True,5.121263513528571,8,23.11822180235112,1580522393.6999695,in_progress
0,12.0,0.5316878256920853,1.5458321882797394,-80.1416167768584,15.0,0.6,3,0.5,False,True,5.478046601937157,8,23.11822180235112,1580522393.921353,in_progress
0,13.0,0.5497998795848231,1.45266867621039,-79.51789241413233,-30.0,0.6,0,0.5,False,True,5.858976575056354,9,23.11822180235112,1580522394.1457667,in_progress
0,14.0,0.5663310846870259,1.343684395287799,-80.7364019998472,30.0,0.6,4,0.5,False,True,6.170214899535588,9,23.11822180235112,1580522394.3507285,in_progress
0,15.0,0.5789272511244024,1.2519287261884688,-81.30884279694664,-30.0,0.6,0,0.1,False,True,6.509100486012685,10,23.11822180235112,1580522394.5760944,in_progress
0,16.0,0.5922699348875629,1.1351651739751183,-82.7748269260633,30.0,0.6,4,0.1,False,True,6.667890140423018,10,23.11822180235112,1580522394.801627,in_progress
0,17.0,0.6010198865736276,1.0288737622115998,-84.03968603741146,0.0,0.6,2,0.1,False,True,6.992603146578618,11,23.11822180235112,1580522395.0067983,in_progress
0,18.0,0.6163188568784489,0.9208689297794721,-82.85448699813345,30.0,0.6,4,0.1,False,False,7.187599932695261,11,23.11822180235112,1580522395.242992,in_progress
0,19.0,0.6420888994095987,0.8152848298670834,-79.14926289887205,15.0,0.6,3,0.001,False,False,7.243572535047278,11,23.11822180235112,1580522395.4283247,in_progress
0,20.0,0.6727080186492655,0.7169847745429905,-76.57255481866184,0.0,0.6,2,0.001,False,False,7.565960292796026,12,23.11822180235112,1580522395.6636677,in_progress
0,21.0,0.7062175505358935,0.613354257071184,-74.37002679062351,15.0,0.6,3,0.001,True,False,7.8402247478527505,12,23.11822180235112,1580522395.8717341,off_track
1,1.0,0.6603455448098561,1.5939351571760714,-62.586243288063635,30.0,0.6,4,1.0,False,True,0.6055611413673744,9,23.11822180235112,1580522396.5071461,in_progress
1,2.0,0.6811462745913954,1.5662373615230298,-60.50196957090588,30.0,0.6,4,1.0,False,True,0.7550265747269885,9,23.11822180235112,1580522396.710817,in_progress
1,3.0,0.7488028437653994,1.4953674769104954,-53.407490049792706,30.0,0.6,4,1.0,False,True,1.1758075817499534,9,23.11822180235112,1580522396.9372811,in_progress
1,4.0,0.8351333207961957,1.433315056375436,-45.186995356120235,15.0,0.6,3,1.0,False,True,1.6427276429068272,10,23.11822180235112,1580522397.1348286,in_progress
1,5.0,0.929162061650221,1.3829259969547076,-36.79830406490081,30.0,0.6,4,1.0,False,True,2.09435179592556,11,23.11822180235112,1580522397.3555515,in_progress
1,6.0,1.0361583545113109,1.347690537942804,-27.822551592734182,15.0,0.6,3,1.0,False,True,2.614199473171741,12,23.11822180235112,1580522397.5840142,in_progress
1,7.0,1.1444574796521458,1.3271410947278721,-19.80254934884827,-30.0,0.6,0,1.0,False,True,3.15314501892989,12,23.11822180235112,1580522397.7922947,in_progress
1,8.0,1.249725365219604,1.3045402525924747,-16.032292212723053,30.0,0.6,4,1.0,False,True,3.6981904385361752,13,23.11822180235112,1580522398.0054185,in_progress
1,9.0,1.3499056212973994,1.2848379726508026,-13.478262202733642,0.0,0.6,2,1.0,False,True,4.192049667038347,14,23.11822180235112,1580522398.2278042,in_progress
1,10.0,1.4672858431576714,1.268757659876304,-10.270868498376934,0.0,0.6,2,1.0,False,True,4.699198705451329,15,23.11822180235112,1580522398.4318593,in_progress
1,11.0,1.567733275514034,1.2566302226731052,-8.607670425965757,30.0,0.6,4,1.0,False,True,5.151369682884122,16,23.11822180235112,1580522398.6707273,in_progress
