episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,0.32251848099084446,2.691227561506709,-84.00545742389316,30.0,0.5608882080663238,"[30.0, 0.5608882080663238]",0.0,False,True,0.6062178222344989,1,23.11822180235112,25.775,prepare,0.0
0,2.0,0.32249722469909003,2.691372917274125,-84.00607495570645,-30.0,0.9077906154815218,"[-30.0, 0.9077906154815218]",1.0,False,True,0.6055829085685216,1,23.11822180235112,25.85,in_progress,0.0
0,3.0,0.3202910719006222,2.681216716210675,-84.76823517293367,30.0,0.5,"[30.0, 0.5]",1.0,False,True,0.6482778173362238,1,23.11822180235112,25.902,in_progress,0.0
0,4.0,0.3158176248428203,2.6637242244107338,-86.5284688185191,-26.985014707237596,0.5,"[-26.985014707237596, 0.5]",1.0,False,True,0.7199426855405118,1,23.11822180235112,25.969,in_progress,0.0
0,5.0,0.31080677075403246,2.641229050408745,-88.00991124428599,3.665749990146402,0.5,"[3.665749990146402, 0.5]",1.0,False,True,0.813218510231175,1,23.11822180235112,26.048,in_progress,0.0
0,6.0,0.306547050828006,2.605231183341768,-89.32888704517872,-13.825376437041491,0.5324417541889817,"[-13.825376437041491, 0.5324417541889817]",1.0,False,True,0.964775970163734,1,23.11822180235112,26.115,in_progress,0.0
0,7.0,0.30797773566154696,2.5716397922417036,-89.03593449082247,23.349764020508516,0.5880723082021906,"[23.349764020508516, 0.5880723082021906]",1.0,False,True,1.109499238657287,2,23.11822180235112,26.181,in_progress,0.0
0,8.0,0.3134989266717245,2.5322510071978948,-87.93759761991429,26.711844369982167,0.6031402468954064,"[26.711844369982167, 0.6031402468954064]",1.0,False,True,1.281544309051393,2,23.11822180235112,26.245,in_progress,0.0
0,9.0,0.33323320973390885,2.49070195866215,-83.65406332368708,5.216627144301803,0.7320045894063955,"[5.216627144301803, 0.7320045894063955]",1.0,False,True,1.468019308061525,2,23.11822180235112,26.306,in_progress,0.0
0,10.0,0.35419472239551947,2.446775529243067,-79.8343548411656,-25.66224466774237,0.6829474136097894,"[-25.66224466774237, 0.6829474136097894]",1.0,False,True,1.6715220016513468,3,23.11822180235112,26.388,in_progress,0.0
0,11.0,0.36147313654379387,2.392374205857053,-80.33382333922577,-20.867943721107487,0.6070370374405858,"[-20.867943721107487, 0.6070370374405858]",1.0,False,True,1.9086023135022552,3,23.11822180235112,26.45,in_progress,0.0
0,12.0,0.36569790599927626,2.3417045869610473,-81.31508029803597,23.5531536746712,1.0,"[23.5531536746712, 1.0]",1.0,False,True,2.124694772053517,3,23.11822180235112,26.507,in_progress,0.0
0,13.0,0.37894410854697913,2.2886957401052315,-80.14494249258085,30.0,0.9536450446091072,"[30.0, 0.9536450446091072]",1.0,False,True,2.3609996830607076,4,23.11822180235112,26.57,in_progress,0.0
0,14.0,0.4076865591777189,2.234872769507844,-75.80694809290556,8.171558349667968,0.8273580017035733,"[8.171558349667968, 0.8273580017035733]",1.0,False,True,2.6159058318444326,4,23.11822180235112,26.646,in_progress,0.0
0,15.0,0.43089427857468976,2.1826068968534162,-73.57774531311564,-30.0,0.6514707839576348,"[-30.0, 0.6514707839576348]",1.0,False,True,2.8602857381155706,4,23.11822180235112,26.707,in_progress,0.0
0,16.0,0.44975783078725434,2.1239919906818736,-73.28215616282125,18.746816089102033,0.8629669292728704,"[18.746816089102033, 0.8629669292728704]",1.0,False,True,3.126316216892332,5,23.11822180235112,26.784,in_progress,0.0
0,17.0,0.473087659397524,2.067467762296114,-71.98519890153382,30.0,0.8042601651048367,"[30.0, 0.8042601651048367]",1.0,False,True,3.3931449104729006,5,23.11822180235112,26.848,in_progress,0.0
0,18.0,0.5059484861344975,2.017662285392354,-68.36816624688653,-30.0,0.5,"[-30.0, 0.5]",1.0,False,True,3.6420318979736006,6,23.11822180235112,26.912,in_progress,0.0
0,19.0,0.5378272314913525,1.9688381830220067,-65.02360798147718,-20.53667306295621,0.9194115070577153,"[-20.53667306295621, 0.9194115070577153]",1.0,False,True,3.8855661639613466,6,23.11822180235112,26.978,in_progress,0.0
0,20.0,0.5515735971913965,1.9205170322393896,-66.89357762115924,21.576062930081832,0.5,"[21.576062930081832, 0.5]",1.0,False,True,4.118000137631945,6,23.11822180235112,27.043,in_progress,0.0
0,21.0,0.5654254942256411,1.8764522262023133,-68.18967885196906,7.336809710154185,0.8552119729657593,"[7.336809710154185, 0.8552119729657593]",1.0,False,True,4.317053379588127,7,23.11822180235112,27.127,in_progress,0.0
0,22.0,0.5916829299880544,1.8345470765029523,-66.32428326499353,-1.702273628722903,0.5,"[-1.702273628722903, 0.5]",1.0,False,True,4.527930685820782,7,23.11822180235112,27.178,in_progress,0.0
